Date,Strategy,^TA125.TA
2024-11-15,141468.15909578797,124401.38138231036
2024-11-18,139960.80291848618,124029.85436993724
2024-11-19,141391.90898319762,124359.43263895012
2024-11-20,141495.00520273412,124064.16881441073
2024-11-21,142295.648679521,124432.4372845761
2024-11-22,143170.82888345906,124432.4372845761
2024-11-25,145088.02949034612,125934.93114631328
2024-11-26,147313.51682891662,127010.86188279698
2024-11-27,146535.31313395954,125794.92023275804
2024-11-28,145694.65006522226,125157.53607674899
2024-11-29,146045.10411994357,125157.53607674899
2024-12-02,147642.38551362423,127044.63102020713
2024-12-03,149151.03121934156,128592.87747457564
2024-12-04,151096.10772265398,128959.52332372326
2024-12-05,151142.5120843314,128912.66681679297
2024-12-06,151836.04712697744,128912.66681679297
2024-12-09,154745.67814529187,131165.8623023354
2024-12-10,156622.19315172592,130728.40633598743
2024-12-11,153911.89365524895,129992.96000978339
2024-12-12,153113.77519658871,129725.46694495743
2024-12-13,153650.50702345578,129725.46694495743
2024-12-16,153095.96384997803,130373.21193516992
2024-12-17,159683.11832517548,131444.23490808357
2024-12-18,161723.3081293129,132158.9861662253
2024-12-19,161482.37537155455,130869.49456349706
2024-12-20,158687.12217917602,130869.49456349706
2024-12-23,162987.3215106394,132124.65842157954
2024-12-24,162816.56465880625,132740.2568953996
2024-12-25,162334.84923011405,132156.2596309086
2024-12-26,161696.70933846847,131255.74486658032
2024-12-27,160484.86418629505,131255.74486658032
2024-12-30,159159.50465246112,130506.67916396509
2024-12-31,156710.83287920107,132349.11212891858
2025-01-01,158695.7414794421,133024.08257178115
2025-01-02,160886.48221385284,133768.78581788967
2025-01-03,160298.1660070174,133768.78581788967
2025-01-06,163091.00691139366,136388.0685453441
2025-01-07,162978.23312364751,136374.99447599627
2025-01-08,161037.60892649053,135279.45928557692
2025-01-09,160011.49571226377,135701.11464726037
2025-01-10,160160.99165935148,135701.11464726037
2025-01-13,158431.07312008578,135837.85371843557
2025-01-14,161295.75600803527,137787.59247331624
2025-01-15,164395.14387359156,139526.5234976136
2025-01-16,166102.63922710047,139989.03698853063
