Date,Strategy,VT,VOO,SPMO,QQQ
2018-01-08,130375.49087882416,111854.15798189056,109204.62046192569,114207.07400972069,114991.34693562766
2018-01-09,130188.44252169174,112044.12638447018,109434.07139078333,114898.06374743725,114997.49148020886
2018-01-10,129144.3883320842,111677.9063730934,109247.69438420299,114935.9749396435,114727.88301973966
2018-01-11,130517.7749783176,112497.24690377776,110053.2724993758,115369.59982742106,115511.72667615082
2018-01-12,131419.3185791942,113389.80936549723,110780.86803972823,116453.04904013535,116359.24818947731
2018-01-15,131419.37233852455,113389.80936549723,110780.86803972823,116453.04904013535,116359.24818947731
2018-01-16,129607.9171332324,113126.00462081908,110377.8757407395,116342.94485346884,116026.03656873964
2018-01-17,132838.87233206266,114018.52057158863,111443.36692705337,117622.6056674868,117276.46978894297
2018-01-18,131577.02856154228,113784.05100481432,111291.62058859789,117853.4821642318,117296.69707861874
2018-01-19,133164.97332319815,114383.80343401982,111763.64142635344,118100.48035905672,117663.41971760828
2018-01-22,133257.6927963832,115217.79707027716,112660.17133129356,118801.04549261648,118920.83219303795
2018-01-23,133803.03301991682,115539.47458586353,112915.64427111308,119475.86004416748,119902.53483291369
2018-01-24,133359.42328075686,115729.4141981781,112859.15129518544,119523.41372365599,119123.9815311519
2018-01-25,133124.87955104184,115553.45402383116,112911.00623494835,118879.36963902223,119080.59810148898
2018-01-26,135719.26291857188,116738.72507417828,114223.40527455244,120522.35078230985,120903.54034431068
2018-01-29,134088.11958314662,115772.41930554471,113434.89162009595,119842.93556527825,120315.82575683133
2018-01-30,131876.6484316385,114586.5523066702,112226.21955992696,118410.81601207057,119325.2200143776
2018-01-31,130560.5102117079,114688.62041844256,112330.03369630732,118780.04004924213,119819.06684715798
2018-02-01,129677.73477401452,114600.51030038983,112217.26651214431,119165.302453697,118800.21227876034
2018-02-02,125368.5554422033,112097.38723639605,109817.40950649072,117588.46476334173,116431.13235825404
2018-02-05,120182.39210763173,107794.02843943436,105312.32938878346,111929.70598837116,111842.4352781888
2018-02-06,121492.3029348964,110047.73489433175,107257.11776825826,113575.96010335317,114803.40863638178
2018-02-07,122733.64040393205,108642.32071685858,106672.21885656763,114562.78658975354,113318.08594423538
2018-02-08,117707.28668589273,105202.52986706024,102712.96619201826,109705.08274846483,108538.64987501856
2018-02-09,120375.36395647138,106314.57411812352,104293.86934439358,110264.0882698462,110411.0212750897
2018-02-12,121842.2191319125,107894.98887879052,105723.22588131292,113241.93522776444,112368.1522887495
2018-02-13,122955.31421705654,107967.87169782585,106078.26441217122,113788.06326818345,112946.8873192782
2018-02-14,125994.56467863491,109679.97054252705,107464.26797519017,115813.78475992668,115059.4781646003
2018-02-15,128285.0460018771,110894.44612919963,108854.59995887906,117067.50864847591,117193.3261794798
2018-02-16,127484.71963545254,110981.96698043059,108841.49048717161,117420.63213494723,116669.30475095016
2018-02-19,127484.71963545254,110981.96698043059,108841.49048717161,117420.63213494723,116669.30475095016
2018-02-20,127044.85931440761,110147.40054485477,108182.94863326321,117365.24903962987,116901.62896564789
2018-02-21,126679.21612974575,109737.253682502,107615.3741596785,117129.80013742078,116568.49034336487
2018-02-22,126203.4825695651,109927.27844480696,107745.18967669355,117225.5536709211,116553.44444660805
2018-02-23,127740.23697172574,111405.13363276982,109512.35542528829,117707.33518968019,118934.50424486176
2018-02-26,128660.56860624722,112443.96223932331,110772.71679582048,119925.90172720652,120509.737986489
2018-02-27,126275.49332701138,110877.65722153935,109360.47096523899,119185.45018985502,119017.41147174286
2018-02-28,124647.08881376496,109589.40255879481,108147.50839684618,118171.60927856706,118253.14551550492
2018-03-01,121968.97629690732,108286.52167066917,106722.30421631926,116308.6335414702,116322.64009026776
2018-03-02,123386.49179469995,108798.45425559474,107289.603370757,116610.23945218761,117388.96753362345
2018-03-05,124274.7648161173,109676.31600174434,108519.63068933348,118185.55367578515,118688.5337626574
2018-03-06,124912.15802824541,110319.92794957812,108792.39618400393,118345.64755269869,119189.37260066254
2018-03-07,125352.32063483703,110188.0088859042,108744.64128788793,118763.07552841124,119464.07418510661
2018-03-08,126659.64664418678,110612.07836109854,109251.28470545873,118890.98882626377,120120.4483183206
2018-03-09,128351.98103154301,112002.0784950209,111139.72118575784,121511.50289962151,122451.86488076906
2018-03-12,127361.49738470705,112118.8986038565,111031.3056359974,121816.25894005827,123101.11645082786
2018-03-13,125974.97475641556,111342.90262877359,110299.15026145052,121091.93424164498,121425.1023519218
2018-03-14,125621.36664175306,111225.5160679137,109718.58097104444,120029.91426378545,121402.89704210973
2018-03-15,125504.38269252962,111049.56509196076,109614.49157631255,119675.40416409877,121295.91753977127
2018-03-16,125385.57114543501,111063.90293867105,109726.99086030504,120044.5524193934,120934.56124670092
2018-03-19,124307.00452549593,109892.7773164602,108262.80555197349,117517.95221165234,118354.81765147876
2018-03-20,125499.22202109959,110155.92322986158,108453.26001708434,118902.63408366822,118743.18849666657
